umap_1,umap_2
3.1664352,7.855418
3.7604744,-5.734358
7.2341,-5.366331
3.6329484,-3.1087081
5.2385902,0.639864
-2.7956023,7.3832154
-7.6537046,4.543707
3.9018173,-2.796953
3.8819826,-5.4364634
-7.587394,4.527476
14.670207,0.03275511
-10.266973,1.3468764
-2.962045,11.38647
-5.9541264,6.301397
6.7699914,-5.2243915
3.617309,-5.368146
3.7339737,-5.264388
1.9203708,-0.8949454
9.113916,-3.6211872
-2.6977677,4.3484306
1.5100791,-2.911547
1.6298735,-3.4891002
0.22962761,2.6245522
0.2678507,5.893743
-7.8052173,-7.1699033
-5.020064,1.1054428
-3.720875,12.252831
-7.617043,0.681141
2.7354825,7.6133575
5.577279,-0.35481516
-3.9930084,0.84824467
11.201577,12.006313
-3.1964042,-2.5436342
-7.60653,4.558645
16.138327,3.6623178
0.2702854,0.39262173
4.2570243,-2.718394
-0.7735514,-4.9350123
7.0855656,3.2904713
-7.8056583,-7.171088
4.943738,-15.006292
1.5501043,-2.5689871
-8.808757,-4.696095
3.7401137,-5.566821
12.878387,-0.85811204
11.906901,4.2513733
2.489138,3.710517
2.9595084,-0.73164785
-2.4941182,7.855788
5.5172753,-0.28212598
6.4506288,9.749106
8.608913,-9.184518
9.7541895,-5.1539598
3.9144292,0.9736737
-3.3791964,7.4374
2.8203292,7.5400214
1.7796401,-0.7154758
9.516517,-3.403708
4.5628986,3.0293784
6.2529325,9.547434
12.816446,-0.82118094
10.818459,14.228055
4.0965624,1.1018593
6.5100813,9.946501
7.0059843,3.1455178
16.141445,3.659945
4.661337,5.93381
3.7676568,0.51850796
4.561001,3.050857
1.6764568,-3.5048144
4.43994,-2.5997965
-2.0547519,-8.760098
4.8295355,7.2818136
-0.17978086,-1.5502992
-3.1840043,11.025379
-2.043992,2.651931
-1.734663,-4.6613874
9.035439,-11.903729
3.876359,0.96124727
10.868677,6.2202196
1.32375,-2.36381
8.225164,6.023435
10.566875,1.9480209
18.161234,-1.2510823
3.7193718,-5.7592883
1.8421855,0.10725745
4.4899898,-3.2381556
7.9266143,11.994968
-3.3752887,7.4278545
13.9477625,-10.230636
4.878929,-15.087227
-10.270284,1.3435508
-1.6360584,-8.279042
2.6174273,-10.305728
3.9120383,-2.1887562
2.6601732,7.6091585
10.392286,4.9062653
-3.6202772,12.1983595
10.110665,5.981843
-0.8541603,-0.44512612
-1.0255946,-4.602561
6.4229727,5.4493613
-2.855545,7.4945207
8.031289,-8.6356
4.6610093,6.116598
1.4951019,-2.9711046
1.5165974,11.014989
1.3705384,-1.0019146
12.687687,-0.07182731
-5.2010016,-10.64699
11.055398,11.884284
1.6168896,-3.1489186
5.8891687,-12.351985
-1.0009906,-8.3599415
-1.1210868,3.1888947
9.0296955,-3.6359546
-2.047202,1.4158497
13.745927,-3.819754
13.022648,6.003006
8.618155,-9.201509
18.1791,-1.2768962
10.882523,-9.925203
6.2627907,9.5334635
4.463687,0.19743015
-1.7811009,-9.137185
4.551902,0.6616268
2.0623748,15.817003
10.413896,5.763454
10.363763,4.942486
0.94401765,0.36959967
-3.4141412,12.14219
-7.333431,-4.70181
-0.051628876,0.72994465
1.9642142,-3.4816885
14.024061,5.8263297
4.580855,-3.40361
12.690435,-0.067071445
1.4715006,4.4986005
-10.270462,1.3434242
-7.8052382,-7.1693377
-2.027937,-1.2599865
6.8992586,9.61314
0.280388,5.7470155
-10.268644,1.3451802
-0.2771888,3.351007
4.7601843,2.9850826
0.99314797,1.1716481
15.274718,1.0367185
-3.2003317,-2.5470176
4.4556913,0.8232512
4.544992,-3.3154259
9.270479,-9.019788
-1.5832093,-4.5357604
7.1977534,9.732749
11.900261,4.2505965
-4.0640945,12.113877
11.591303,-6.325479
7.9702415,-8.641348
1.8743936,4.3316593
7.531936,4.095751
1.1570061,-0.04573028
-1.3235435,2.2610486
-2.1573367,0.13166897
0.24970195,5.752262
1.0756873,-9.595247
7.224696,-5.426987
-5.9529815,6.299777
-3.472945,12.184426
5.0638647,-15.104167
-1.7758614,0.37662166
11.080876,2.4230518
-3.2273583,7.3993826
10.607828,5.685681
14.668238,0.029224247
-10.268428,1.3454858
7.7688446,-5.17439
4.6345186,-3.4913073
-7.195271,2.9304802
-1.1479262,3.200285
-10.269172,1.3443662
6.9906974,3.1434965
7.7278767,4.610661
1.428742,-0.034510653
5.2838445,0.59542185
4.937161,-14.998328
1.6155415,-0.7736067
-1.3836164,1.7483697
15.128737,-4.425687
-2.0742273,-2.4050508
15.186661,-4.42097
4.883035,-15.112842
-4.2679367,0.89956266
9.48142,-3.4256294
6.897569,3.7219198
-1.1875366,2.2068348
-5.0392427,-14.850826
12.72631,-0.72100425
2.576077,-10.349324
-7.8046355,-7.165567
13.538901,8.649808
6.950147,3.2217252
9.271054,-3.40651
9.210756,-11.294053
10.446457,4.7685647
0.11989075,5.654603
4.834495,7.272837
11.593213,-6.3265224
11.87838,4.2777095
10.821315,14.231129
6.5524435,9.882982
3.6448908,-3.1931484
4.5760694,0.6592241
-2.3442433,2.2410364
1.9279363,-3.0783038
2.8818808,12.680856
9.238079,1.9751772
10.914825,-9.958714
10.904764,0.94370914
11.858647,4.2680836
1.965622,-0.88453805
8.083512,-9.209981
10.645702,5.7081804
9.344347,-3.535133
-5.954569,6.301129
4.7595778,-15.150124
2.1671448,-6.5501256
2.8733227,12.674798
1.8415066,-1.4280756
2.1631973,-6.5545635
6.9197454,4.090896
2.5186687,7.5349245
13.894485,5.747128
7.231752,-5.3997416
-0.24832511,3.2060046
11.070795,11.904711
3.8464415,-5.025389
1.1147048,-9.588882
-5.0342035,-14.845797
7.115865,-5.3176847
2.875093,7.407215
5.485974,-0.23577653
7.828098,-5.3270264
7.7875524,-5.16611
-3.1932201,11.222913
3.189145,7.8691792
11.069386,2.4232635
11.2252245,4.830564
9.053486,-3.6493115
7.500863,-5.2287364
8.5894785,-9.160894
1.5409297,-2.8801637
15.091065,-4.1636972
6.915985,4.1044197
10.243511,5.066505
7.5059924,-5.6202097
3.638279,-5.8045654
9.216868,-11.279433
6.829889,3.7918432
6.9295197,3.9651394
7.9163775,-8.654221
-2.9750273,-5.9556518
4.5821857,-2.9778728
-7.450899,4.3948474
2.868553,12.6765995
9.06343,-11.875584
2.698174,8.068579
7.0261574,-4.891797
1.7115369,0.969252
10.7858,4.9045205
11.096308,5.6147294
10.893399,5.58274
3.7071419,-5.5670457
-5.0446687,-14.856306
4.8840923,-15.154922
14.99408,2.8957508
8.618274,-9.205563
2.6515028,8.597809
-0.28687394,3.1610749
-3.13096,11.224567
9.489469,-3.4569583
5.0226674,-15.449418
-0.83242655,-5.2306113
5.278311,0.59735453
7.7685776,4.6777644
-0.9937602,-4.0826163
7.088606,-4.8713613
13.941292,-10.224048
11.063549,2.4006612
3.5109024,-5.997619
2.87748,-0.6556533
11.200066,5.530019
12.709162,-0.045296893
2.5191753,8.144301
1.6262362,-0.44425997
-0.65323734,-4.1907263
-0.24913718,-0.7377243
7.039913,-4.924346
-1.3450159,1.6837562
14.998581,-4.082702
1.5965575,0.8898465
3.8884585,0.9593235
-3.8955393,0.9132484
0.97196186,0.045179754
0.14134732,5.6348743
-0.8683272,-1.3128309
16.140152,3.6580281
-0.3517668,6.077758
10.302123,2.1649654
4.830218,2.9259546
6.5516224,9.920045
1.54571,4.4798136
1.7150804,-2.8534274
4.45732,-3.2004154
0.92663413,0.43617263
4.5436063,0.67072207
4.469837,-3.2418797
7.3448544,3.642215
4.2181077,9.484414
-3.7007143,11.992523
-1.882497,3.9660401
-0.6894425,-0.7734752
